Category,Cost,Description,Eligibility,Monthly,ID,Product Name,Year,Company name
Life Insurance,500000000,Comprehensive term life coverage with flexible premium payment.,Vietnam residents aged 18-55,1200000,P001,Manulife Life Secure,20,Manulife
Health Insurance,200000000,Hospitalization and surgical expense coverage.,Vietnam residents aged 20-60,800000,P002,Manulife Health Protect,10,Manulife
Accident Insurance,150000000,Accidental death and disability benefits.,Vietnam residents aged 18-65,500000,P003,Manulife Accident Guard,5,Manulife
Savings Plan,1000000000,Savings plan with guaranteed returns and life coverage.,Vietnam residents aged 25-55,1500000,P004,Manulife Savings Plus,25,Manulife
Retirement Plan,2000000000,Provides regular income after retirement.,Vietnam residents aged 30-60,2000000,P005,Manulife Retirement Income,30,Manulife
Critical Illness,300000000,Lump‑sum payout upon diagnosis of covered illnesses.,Vietnam residents aged 25-60,900000,P006,Manulife Critical Illness Cover,15,Manulife
Family Health Insurance,250000000,Covers entire family for hospital and outpatient care.,Vietnam families (head of household 25-55),1200000,P007,Manulife Family Health,12,Manulife
Education Savings,500000000,Savings for children's higher education with life protection.,Parents aged 25-45,700000,P008,Manulife Child Education Plan,18,Manulife
Travel Insurance,10000000,Medical and trip cancellation coverage for overseas trips.,Vietnam residents traveling abroad,200000,P009,Manulife Travel Protect,1,Manulife
Property Insurance,200000000,"Covers fire, natural disaster, and theft.",Homeowners aged 25-65,600000,P010,Manulife Home Owner Protect,10,Manulife
Liability Insurance,300000000,Protects against third‑party claims.,SMEs aged 18-65,1100000,P011,Manulife Business Liability,5,Manulife
Critical Illness,250000000,Dedicated coverage for cancer treatment costs.,Vietnam residents aged 30-60,850000,P012,Manulife Cancer Care,12,Manulife
Health Insurance,150000000,Hospital and outpatient coverage for seniors.,Seniors aged 60-75,750000,P013,Manulife Senior Care,8,Manulife
Income Protection,200000000,Monthly income replacement if unable to work.,Employed adults aged 25-55,950000,P014,Manulife Income Protect,7,Manulife
Disability Insurance,180000000,Long‑term disability benefits.,Vietnam residents aged 20-55,800000,P015,Manulife Disability Shield,10,Manulife
Health Insurance,120000000,Tailored health coverage for women.,Women aged 18-55,650000,P016,Manulife Women’s Health,10,Manulife
Health Insurance,100000000,Maternity hospital and prenatal care.,Pregnant women aged 20-45,500000,P017,Manulife Pregnancy Care,2,Manulife
Group Life Insurance,400000000,Life coverage for all eligible staff.,Companies with 10+ employees,1300000,P018,Manulife Group Life,15,Manulife
Accident Insurance,120000000,Accidental death and medical expense benefits.,Individuals aged 18-65,450000,P019,Manulife Personal Accident,5,Manulife
Mortgage Protection,250000000,Pays off mortgage if policyholder passes away.,Homeowners with mortgage,700000,P020,Manulife Mortgage Protect,20,Manulife
